Year ending December,Postcode,Incidents Recorded
2009,3333,30.0
2009,3334,14.0
2009,3335,143.0
2009,3337,2165.0
2009,3338,736.0
2009,3340,836.0
2009,3341,37.0
2009,3342,145.0
2009,3345,35.0
2009,3350,4472.0
2009,3351,190.0
2009,3352,356.0
2009,3355,1167.0
2009,3356,1221.0
2009,3357,64.0
2009,3360,15.0
2009,3361,23.0
2009,3363,152.0
2009,3364,41.0
2009,3370,76.0
2009,3371,29.0
2009,3373,115.0
2009,3375,5.0
2009,3377,649.0
2009,3379,27.0
2009,3380,517.0
2009,3381,37.0
2009,3384,11.0
2009,3385,21.0
2009,3387,7.0
2009,3388,6.0
2009,3390,48.0
2009,3391,8.0
2009,3392,10.0
2009,3393,105.0
2009,3395,12.0
2009,3396,27.0
2009,3399,2.0
2009,3400,1205.0
2009,3401,55.0
2009,3407,12.0
2009,3409,6.0
2009,3412,17.0
2009,3413,1.0
2009,3414,62.0
2009,3418,75.0
2009,3419,27.0
2009,3420,1.0
2009,3422,1.0
2009,3423,11.0
2009,3424,15.0
2009,3427,86.0
2009,3428,43.0
2009,3429,1506.0
2009,3430,10.0
2009,3431,107.0
2009,3432,1.0
2009,3433,9.0
2009,3434,119.0
2009,3435,71.0
2009,3437,241.0
2009,3438,44.0
2009,3440,58.0
2009,3441,15.0
2009,3442,190.0
2009,3444,414.0
2009,3446,41.0
2009,3447,10.0
2009,3448,25.0
2009,3450,424.0
2009,3451,93.0
2009,3453,51.0
2009,3458,67.0
2009,3460,155.0
2009,3461,73.0
2009,3462,18.0
2009,3463,61.0
2009,3464,33.0
2009,3465,643.0
2009,3467,44.0
2009,3468,9.0
2009,3469,7.0
2009,3472,68.0
2009,3475,15.0
2009,3478,177.0
2009,3480,41.0
2009,3482,14.0
2009,3483,27.0
2009,3485,3.0
2009,3487,3.0
2009,3489,2.0
2009,3490,93.0
2009,3491,1.0
2009,3494,25.0
2009,3496,313.0
2009,3498,128.0
2009,3500,3087.0
2009,3501,50.0
2009,3505,195.0
2009,3506,3.0
2009,3507,5.0
2009,3509,10.0
2009,3512,7.0
2009,3515,26.0
2009,3516,41.0
2009,3517,81.0
2009,3518,72.0
2009,3520,29.0
2009,3521,14.0
2009,3522,11.0
2009,3523,161.0
2009,3525,70.0
2009,3527,17.0
2009,3530,1.0
2009,3531,3.0
2009,3533,17.0
2009,3537,27.0
2009,3539,2.0
2009,3540,9.0
2009,3542,3.0
2009,3544,6.0
2009,3546,12.0
2009,3549,460.0
2009,3550,3001.0
2009,3551,340.0
2009,3555,747.0
2009,3556,658.0
2009,3557,19.0
2009,3558,34.0
2009,3559,13.0
2009,3561,184.0
2009,3562,23.0
2009,3563,13.0
2009,3564,1131.0
2009,3566,9.0
2009,3567,11.0
2009,3568,85.0
2009,3570,12.0
2009,3571,4.0
2009,3572,1.0
2009,3573,4.0
2009,3575,19.0
2009,3579,324.0
2009,3580,21.0
2009,3581,14.0
2009,3583,2.0
2009,3584,27.0
2009,3585,1025.0
2009,3586,6.0
2009,3588,3.0
2009,3589,6.0
2009,3591,1.0
2009,3595,25.0
2009,3596,1.0
2009,3597,13.0
2009,3599,10.0
2009,3607,2.0
2009,3608,72.0
2009,3610,36.0
2009,3612,114.0
2009,3614,19.0
2009,3616,211.0
2009,3618,32.0
2009,3620,492.0
2009,3621,76.0
2009,3622,3.0
2009,3623,28.0
2009,3624,27.0
2009,3629,545.0
2009,3630,3039.0
2009,3631,207.0
2009,3633,12.0
2009,3634,29.0
2009,3635,18.0
2009,3636,174.0
2009,3637,12.0
2009,3638,84.0
2009,3639,18.0
2009,3640,12.0
2009,3641,40.0
2009,3644,387.0
2009,3646,17.0
2009,3649,9.0
2009,3658,131.0
2009,3659,32.0
2009,3660,819.0
2009,3662,11.0
2009,3663,7.0
2009,3664,29.0
2009,3665,17.0
2009,3666,157.0
2009,3669,31.0
2009,3670,24.0
2009,3672,816.0
2009,3673,16.0
2009,3675,44.0
2009,3677,1324.0
2009,3678,46.0
2009,3682,8.0
2009,3683,71.0
2009,3685,83.0
2009,3687,39.0
2009,3688,19.0
2009,3690,1817.0
2009,3691,100.0
2009,3695,5.0
2009,3697,10.0
2009,3698,6.0
2009,3699,59.0
2009,3700,32.0
2009,3701,22.0
2009,3705,14.0
2009,3707,83.0
2009,3708,4.0
2009,3709,15.0
2009,3711,16.0
2009,3712,13.0
2009,3713,57.0
2009,3714,144.0
2009,3715,9.0
2009,3717,146.0
2009,3719,6.0
2009,3720,22.0
2009,3722,238.0
2009,3723,171.0
2009,3725,3.0
2009,3726,2.0
2009,3727,3.0
2009,3728,19.0
2009,3730,252.0
2009,3732,6.0
2009,3733,2.0
2009,3735,11.0
2009,3737,161.0
2009,3738,4.0
2009,3739,4.0
2009,3740,18.0
2009,3741,173.0
2009,3744,6.0
2009,3746,12.0
2009,3747,115.0
2009,3749,34.0
2009,3750,17.0
2009,3751,6.0
2009,3752,768.0
2009,3753,16.0
2009,3754,317.0
2009,3755,6.0
2009,3756,356.0
2009,3757,331.0
2009,3758,66.0
2009,3759,16.0
2009,3760,3.0
2009,3761,23.0
2009,3762,4.0
2009,3763,56.0
2009,3764,267.0
2009,3765,161.0
2009,3766,21.0
2009,3767,32.0
2009,3770,60.0
2009,3775,66.0
2009,3777,354.0
2009,3778,12.0
2009,3779,28.0
2009,3781,214.0
2009,3782,293.0
2009,3783,79.0
2009,3785,10.0
2009,3786,30.0
2009,3787,20.0
2009,3788,55.0
2009,3789,20.0
2009,3791,27.0
2009,3792,10.0
2009,3793,120.0
2009,3795,26.0
2009,3796,214.0
2009,3797,118.0
2009,3799,234.0
2009,3802,942.0
2009,3803,570.0
2009,3804,187.0
2009,3805,2691.0
2009,3806,1500.0
2009,3807,280.0
2009,3808,34.0
2009,3809,131.0
2009,3810,1758.0
2009,3812,50.0
2009,3813,34.0
2009,3814,72.0
2009,3815,76.0
2009,3816,81.0
2009,3818,464.0
2009,3820,727.0
2009,3821,44.0
2009,3822,12.0
2009,3823,62.0
2009,3824,180.0
2009,3825,1704.0
2009,3831,45.0
2009,3833,27.0
2009,3835,9.0
2009,3840,2132.0
2009,3842,318.0
2009,3844,1930.0
2009,3847,109.0
2009,3850,1383.0
2009,3851,166.0
2009,3854,23.0
2009,3856,14.0
2009,3857,5.0
2009,3858,114.0
2009,3859,14.0
2009,3860,292.0
2009,3862,57.0
2009,3864,7.0
2009,3865,14.0
2009,3869,27.0
2009,3870,39.0
2009,3871,101.0
2009,3873,8.0
2009,3874,29.0
2009,3875,1318.0
2009,3878,15.0
2009,3880,75.0
2009,3882,10.0
2009,3885,27.0
2009,3886,9.0
2009,3887,40.0
2009,3888,225.0
2009,3889,12.0
2009,3890,29.0
2009,3891,3.0
2009,3892,41.0
2009,3893,2.0
2009,3895,9.0
2009,3896,15.0
2009,3898,29.0
2009,3900,11.0
2009,3902,10.0
2009,3903,8.0
2009,3904,22.0
2009,3909,549.0
2009,3910,788.0
2009,3911,184.0
2009,3912,535.0
2009,3913,131.0
2009,3915,868.0
2009,3916,23.0
2009,3918,96.0
2009,3919,93.0
2009,3920,3.0
2009,3921,3.0
2009,3922,517.0
2009,3923,9.0
2009,3925,166.0
2009,3926,82.0
2009,3927,39.0
2009,3928,4.0
2009,3929,39.0
2009,3930,450.0
2009,3931,1365.0
2009,3933,55.0
2009,3934,351.0
2009,3936,512.0
2009,3937,15.0
2009,3938,65.0
2009,3939,951.0
2009,3940,163.0
2009,3941,629.0
2009,3942,112.0
2009,3943,235.0
2009,3944,68.0
2009,3945,17.0
2009,3946,12.0
2009,3950,182.0
2009,3951,19.0
2009,3953,344.0
